model_id,formula,aic,bic,rmse_log,rmse_raw,mae,r2
1,log(vo2_l_min) ~ Lnmasskg + bodyfat + Sex + Age2,-2079.40283033757,-2048.0208568132534,0.18580970433382904,0.49236475800273266,0.37495747848843425,0.7323900041923233
3,log(vo2_l_min) ~ Lnmasskg + bodyfat + Sex + ageattesty,-2027.4040069646244,-1996.022033440308,0.18702590128837798,0.49767291654811446,0.37880330071463675,0.7288753157047811
2,log(vo2_l_min) ~ LnFFFkg + Sex + Age2,-1988.626438005841,-1963.5208591863877,0.18792738323598876,0.5007880884093561,0.38176069698692716,0.7262553250436787
