"model_id","formula","aic","bic","rmse_log","rmse_raw","mae","r2"
"Model_1","log(vo2_l_min) ~ Lnmasskg + bodyfat + Sex + Age2",-2077.40283033757,-2039.74446210839,0.185779783195619,0.492257337547465,0.374741621709771,0.705946544705617
"Model_2","log(vo2_l_min) ~ LnFFFkg + Sex + Age2",-1986.62643800584,-1955.24446448153,0.187924960929942,0.500661197107732,0.381636847152339,0.695820629320764
"Model_3","log(vo2_l_min) ~ Lnmasskg + bodyfat + Sex + ageattesty",-2025.40400696462,-1987.74563873544,0.186975832927903,0.497558345384452,0.378550584457686,0.699579254168002
