"model_id","formula","aic","bic","rmse_log","rmse_raw","mae","r2"
"model1","log(vo2_l_min) ~ Lnmasskg + bodyfat + Sex + Age2",-2077.40283033757,-2039.74446210839,0.185622839852703,0.491708490976517,0.374741621709771,0.733316276943838
"model2","log(vo2_l_min) ~ LnFFFkg + bodyfat + Sex + Age2",-2075.5064929586,-2037.84812472942,0.185666315274706,0.49211045454908,0.374975436335939,0.733187563370107
"model3","log(vo2_l_min) ~ Lnmasskg + bodyfat + Sex + ageattesty",-2025.40400696462,-1987.74563873544,0.186799970681312,0.496989910192469,0.378550584457686,0.729764270265733
